txn_id,timestamp,user_id,merchant_id,amount,utr,mcc,status,user_id_clean,merchant_id_clean,txn_id_clean,amount_clean,negative_amount_flag,status_clean,timestamp_clean,utr_clean,missing_utr_flag,invalid_utr_flag,mcc_clean,merchant_category_clean_x,user_id_core,kyc_match_flag,merchant_id_core,merchant_match_flag,kyc_status_clean,risk_segment_clean,monthly_income_clean,missing_pan_flag,missing_aadhaar_flag,missing_dob_flag,identity_conflict_score,merchant_name,merchant_category_clean_y,business_type_clean,merchant_status,onboarding_date_clean,declared_avg_ticket_clean,merchant_conflict_score,chargeback_count,disputed_amount,max_severity,delayed_dispute_count,reporting_delay_days,has_chargeback_flag,date,hour,day_of_week,is_weekend,user_txn_count,user_avg_amount,user_total_amount,user_std_amount,merchant_txn_count,merchant_avg_amount,merchant_total_amount,merchant_std_amount,user_amount_deviation,merchant_amount_deviation,large_user_deviation_flag,large_merchant_deviation_flag,user_risk_score,user_risk_level,merchant_risk_score,merchant_risk_level,transaction_risk_score,transaction_risk_level
TXN00011869,2026-01-15 00:11:30,USR45826,MCH7045,15722.34,UTR6498104698,5411.0,COMPLETED,USR45826,MCH7045,TXN00011869,15722.34,0,SUCCESS,2026-01-15 00:11:30,UTR6498104698,0,0,5411,Grocery,45826,0,7045,0,,,,,,,,,,,,,,,1.0,8004.21,UNKNOWN,0.0,,1,2026-01-15,0,Thursday,0,1,15722.34,15722.34,,4,13622.43,54489.72,7256.993435140112,,0.28936363506017926,0,0,30.0,MEDIUM,22.5,LOW,35.75,MEDIUM
TXN00010383,2026-01-17 20:09:44,USR79397,MCH5031,Rs. 6362.9,UTR7656190355,4131.0,TXN_FAILED,USR79397,MCH5031,TXN00010383,6362.9,0,FAILED,2026-01-17 20:09:44,UTR7656190355,0,0,4131,Transportation,79397,1,5031,0,REJECTED,LOW,7971.0,0.0,0.0,0.0,4.0,,,,,,,,1.0,4163.19,LOW,0.0,,1,2026-01-17,20,Saturday,1,1,6362.9,6362.9,,4,9500.54,38002.16,8894.547157549207,,-0.3527599488116653,0,0,75.0,CRITICAL,18.75,LOW,48.12,MEDIUM
TXN00008297,2026-01-23 14:10:16,USR87810,MCH9809,15446.19,UTR9037001889,5411.0,S,USR87810,MCH9809,TXN00008297,15446.19,0,SUCCESS,2026-01-23 14:10:16,UTR9037001889,0,0,5411,Grocery,87810,0,9809,0,,,,,,,,,,,,,,,0.0,0.0,,0.0,,0,2026-01-23,14,Friday,0,1,15446.19,15446.19,,2,10492.105,20984.21,7006.134196149114,,0.7071067811865477,0,0,0.0,LOW,0.0,LOW,0.0,LOW
TXN00006448,1770063471,USR54287,MCH6928,12110.49,UTR5257823698,5411.0,S,USR54287,MCH6928,TXN00006448,12110.49,0,SUCCESS,2026-02-02 20:17:51,UTR5257823698,0,0,5411,Grocery,54287,0,6928,1,,,,,,,,Tata-Wagle,Pharmacy & Medical,Partnership,A,2023-12-31 04:58:57,1008.0,2.0,0.0,0.0,,0.0,,0,2026-02-02,20,Monday,0,2,12123.654999999999,24247.309999999998,18.61812154864239,2,12521.635,25043.27,581.4468351018868,-0.7071067811864742,-0.7071067811865475,0,0,0.0,LOW,17.5,LOW,5.25,LOW
TXN00018792,2026-03-31 14:02:37,USR53865,MCH8121,Rs. 19432.94,UTR4204272894,4131.0,TXN_SUCCESS,USR53865,MCH8121,TXN00018792,19432.94,0,SUCCESS,2026-03-31 14:02:37,UTR4204272894,0,0,4131,Transportation,53865,0,8121,0,,,,,,,,,,,,,,,0.0,0.0,,0.0,,0,2026-03-31,14,Tuesday,0,1,19432.94,19432.94,,4,18106.53,72426.12,3121.447567363579,,0.4249342561023075,0,0,0.0,LOW,0.0,LOW,0.0,LOW
TXN00000400,2026-02-11 01:40:43,USR90546,MCH6773,Rs. 18866.03,UTR2080442730,5812.0,SUCCESS,USR90546,MCH6773,TXN00000400,18866.03,0,SUCCESS,2026-02-11 01:40:43,UTR2080442730,0,0,5812,Food & Restaurants,90546,1,6773,1,REJECTED,LOW,,0.0,0.0,0.0,0.0,"parmar, sahota and rajagopalan",Other Retail,Sole Proprietor,Enabled,2024-02-23 00:00:00,3042.0,0.0,0.0,0.0,,0.0,,0,2026-02-11,1,Wednesday,0,2,10003.16,20006.32,12533.99095554963,4,17032.885,68131.54,6270.50722723715,0.7071067811865476,0.2923439737119485,0,0,10.0,LOW,15.0,LOW,7.5,LOW
TXN00015249,03-10-2026 09:27:31 PM,USR18691,MCH7856,19982.69,UTR5471158093,,COMPLETED,USR18691,MCH7856,TXN00015249,19982.69,0,SUCCESS,2026-03-10 21:27:31,UTR5471158093,0,0,,Unknown,18691,1,7856,1,APPROVED,LOW,92548.0,0.0,0.0,0.0,0.0,"Sood, Dalal and Butala",Hotels & Hospitality,Private Limited,Live,2025-11-06 15:54:00,2048.0,0.0,0.0,0.0,,0.0,,0,2026-03-10,21,Tuesday,0,1,19982.69,19982.69,,5,14073.172,70365.86,7427.767834630401,,0.7955981031674303,0,0,0.0,LOW,0.0,LOW,0.0,LOW
TXN00007121,25/02/2026 00:53:02,USR16629,MCH7753,Rs. 22687.5,UTR3330570580,5411.0,COMPLETED,USR16629,MCH7753,TXN00007121,22687.5,0,SUCCESS,2026-02-25 00:53:02,UTR3330570580,0,0,5411,Grocery,16629,0,7753,0,,,,,,,,,,,,,,,0.0,0.0,,0.0,,0,2026-02-25,0,Wednesday,0,2,15714.814999999999,31429.629999999997,9860.865693155443,3,13110.853333333333,39332.56,9970.64767614087,0.7071067811865477,0.9604839101458752,0,0,0.0,LOW,0.0,LOW,0.0,LOW
TXN00008460,2026-02-07 09:53:11,USR20899,MCH9111,8256.07,UTR6505850115,,S,USR20899,MCH9111,TXN00008460,8256.07,0,SUCCESS,2026-02-07 09:53:11,UTR6505850115,0,0,,Unknown,20899,1,9111,1,APPROVED,LOW,-10440.0,0.0,0.0,0.0,0.0,"  Dhar, Thaker and Madan  ",Other Retail,Private Limited,Enabled,2024-08-11 00:00:00,1785.1,0.0,0.0,0.0,,0.0,,0,2026-02-07,9,Saturday,1,1,8256.07,8256.07,,3,9481.223333333333,28443.67,6227.767085885063,,-0.19672433416947868,0,0,0.0,LOW,5.0,LOW,1.5,LOW
TXN00002541,03-30-2026 09:37:49 AM,USR51755,MCH2949,"₹16,466.93",UTR 2787678319,5411.0,FAILED,USR51755,MCH2949,TXN00002541,16466.93,0,FAILED,2026-03-30 09:37:49,UTR2787678319,0,0,5411,Grocery,51755,0,2949,1,,,,,,,,"Mahal, Natt and Ghosh",Other Retail,Partnership,Active,2024-07-19 00:00:00,-2320.74,0.0,0.0,0.0,,0.0,,0,2026-03-30,9,Monday,0,1,16466.93,16466.93,,1,16466.93,16466.93,,,,0,0,15.0,LOW,15.0,LOW,9.0,LOW
