date,transaction_count,transaction_amount,average_transaction_value,failed_count,pending_count,chargeback_count,disputed_amount,failed_rate,chargeback_ratio
2026-01-01,215,2502775.44,11640.815999999999,21,3,27.0,43298.09,0.09767441860465116,0.12558139534883722
2026-01-02,200,2513571.38,12567.856899999999,23,9,17.0,42659.03,0.115,0.085
2026-01-03,201,2372593.83,11803.949402985076,19,6,25.0,54604.04,0.0945273631840796,0.12437810945273632
2026-01-04,218,2819911.44,12935.37357798165,21,11,26.0,87952.17,0.0963302752293578,0.11926605504587157
2026-01-05,206,2302533.6,11177.347572815534,18,11,24.0,86885.05,0.08737864077669903,0.11650485436893204
2026-01-06,226,2781524.05,12307.628539823008,36,9,27.0,80112.16,0.1592920353982301,0.11946902654867257
2026-01-07,210,2461027.44,11719.178285714286,14,6,28.0,52669.67,0.06666666666666667,0.13333333333333333
2026-01-08,225,2663910.78,11839.603466666666,22,13,25.0,57803.15,0.09777777777777778,0.1111111111111111
2026-01-09,238,2959314.49,12434.094495798321,20,1,36.0,111687.31999999999,0.08403361344537816,0.15126050420168066
2026-01-10,249,3022501.3,12138.559437751002,25,7,26.0,95486.25,0.10040160642570281,0.10441767068273092
2026-01-11,228,2664705.05,11687.302850877191,22,10,31.0,65273.92,0.09649122807017543,0.13596491228070176
2026-01-12,251,3133049.7600000002,12482.269960159363,20,4,28.0,64883.31,0.0796812749003984,0.11155378486055777
2026-01-13,233,2813139.96,12073.562060085836,20,8,29.0,70485.1,0.08583690987124463,0.12446351931330472
2026-01-14,245,2990751.08,12207.147265306123,19,7,25.0,55752.61,0.07755102040816327,0.10204081632653061
2026-01-15,233,2731296.35,11722.301931330472,23,10,35.0,110942.86,0.09871244635193133,0.15021459227467812
2026-01-16,211,2618560.44,12410.239052132702,20,8,29.0,96088.09,0.0947867298578199,0.13744075829383887
2026-01-17,213,2427671.86,11397.520469483567,23,6,34.0,110626.16,0.107981220657277,0.1596244131455399
2026-01-18,226,2717819.46,12025.74982300885,19,9,30.0,67142.11,0.084070796460177,0.13274336283185842
2026-01-19,214,2549682.69,11914.405093457945,21,7,26.0,84065.39,0.09813084112149532,0.12149532710280374
2026-01-20,218,2404504.11,11029.835366972477,16,6,36.0,77829.64,0.07339449541284404,0.1651376146788991
2026-01-21,207,2627365.99,12692.589323671498,12,7,32.0,79219.11,0.057971014492753624,0.15458937198067632
2026-01-22,222,2539270.7,11438.156306306308,19,10,27.0,43929.75,0.08558558558558559,0.12162162162162163
2026-01-23,202,2378222.11,11773.376782178217,22,13,34.0,137831.88999999998,0.10891089108910891,0.16831683168316833
2026-01-24,206,2364412.4,11477.730097087378,19,7,25.0,108518.9,0.09223300970873786,0.12135922330097088
2026-01-25,202,2611681.7,12929.117326732674,13,11,28.0,82521.42,0.06435643564356436,0.13861386138613863
2026-01-26,215,2502175.67,11638.026372093023,26,7,37.0,104921.48,0.12093023255813953,0.17209302325581396
2026-01-27,224,2851314.77,12729.083794642856,23,6,23.0,62104.31,0.10267857142857142,0.10267857142857142
2026-01-28,232,2825775.88,12180.068448275862,24,7,38.0,88571.83,0.10344827586206896,0.16379310344827586
2026-01-29,217,2361046.71,10880.399585253455,22,11,29.0,73931.13,0.10138248847926268,0.1336405529953917
2026-01-30,242,2852438.66,11786.936611570249,20,9,31.0,77111.95999999999,0.08264462809917356,0.128099173553719
2026-01-31,236,2616794.54,11088.11245762712,27,13,29.0,100753.38,0.11440677966101695,0.1228813559322034
2026-02-01,215,2524690.78,11742.747813953487,16,14,30.0,88974.48,0.07441860465116279,0.13953488372093023
2026-02-02,218,2730856.29,12526.86371559633,18,6,26.0,84951.0,0.08256880733944955,0.11926605504587157
2026-02-03,200,2359693.0,11798.465,25,7,25.0,61987.38,0.125,0.125
2026-02-04,216,2459179.25,11385.08912037037,21,8,23.0,40538.84,0.09722222222222222,0.10648148148148148
2026-02-05,213,2312052.04,10854.70441314554,20,8,22.0,61271.88,0.09389671361502347,0.10328638497652583
2026-02-06,242,2709418.78,11195.945371900825,31,10,34.0,85413.28,0.128099173553719,0.14049586776859505
2026-02-07,241,2679780.63,11119.421701244813,21,9,33.0,141011.74,0.08713692946058091,0.13692946058091288
2026-02-08,219,2533198.06,11567.114429223744,27,11,29.0,71606.72,0.1232876712328767,0.1324200913242009
2026-02-09,198,2336234.95,11799.166414141415,20,13,20.0,67453.79,0.10101010101010101,0.10101010101010101
2026-02-10,234,2869565.57,12263.100726495726,23,8,21.0,36832.259999999995,0.09829059829059829,0.08974358974358974
2026-02-11,242,2949915.12,12189.731900826448,27,10,29.0,46650.240000000005,0.1115702479338843,0.11983471074380166
2026-02-12,224,2701284.28,12059.30482142857,25,8,23.0,75984.4,0.11160714285714286,0.10267857142857142
2026-02-13,221,2820883.25,12764.177601809955,26,5,29.0,95375.86,0.11764705882352941,0.13122171945701358
2026-02-14,237,3059850.63,12910.762151898734,29,8,32.0,82189.75,0.12236286919831224,0.1350210970464135
2026-02-15,213,2395699.52,11247.41558685446,25,11,27.0,72671.52,0.11737089201877934,0.1267605633802817
2026-02-16,222,2672270.59,12037.254909909909,20,10,32.0,72989.09,0.09009009009009009,0.14414414414414414
2026-02-17,249,2831319.25,11370.760040160643,28,11,29.0,104925.37,0.11244979919678715,0.11646586345381527
2026-02-18,227,2785042.51,12268.909735682819,24,10,29.0,106974.75,0.10572687224669604,0.1277533039647577
2026-02-19,203,2470211.54,12168.529753694582,22,11,25.0,72676.01000000001,0.10837438423645321,0.12315270935960591
2026-02-20,223,2724822.44,12218.934708520179,16,8,21.0,30845.239999999998,0.07174887892376682,0.09417040358744394
2026-02-21,208,2514236.03,12087.673221153846,21,8,29.0,52520.42,0.10096153846153846,0.13942307692307693
2026-02-22,214,2591737.84,12110.924485981308,17,6,31.0,123624.3,0.0794392523364486,0.14485981308411214
2026-02-23,226,2795716.55,12370.427212389379,29,5,31.0,75316.42,0.12831858407079647,0.13716814159292035
2026-02-24,220,2345868.33,10663.037863636364,20,16,33.0,85968.89,0.09090909090909091,0.15
2026-02-25,243,2768995.02,11395.041234567901,30,9,32.0,70829.95,0.12345679012345678,0.13168724279835392
2026-02-26,214,2622921.44,12256.642242990654,24,6,29.0,45416.52,0.11214953271028037,0.13551401869158877
2026-02-27,221,2727767.09,12342.837511312217,19,7,24.0,39504.409999999996,0.08597285067873303,0.1085972850678733
2026-02-28,226,2821088.63,12482.693053097344,21,10,33.0,75643.82,0.09292035398230089,0.14601769911504425
2026-03-01,223,2740611.33,12289.736905829597,13,5,35.0,92827.2,0.05829596412556054,0.15695067264573992
2026-03-02,211,2401417.83,11381.127156398104,30,7,26.0,79026.70999999999,0.14218009478672985,0.12322274881516587
2026-03-03,218,2608256.06,11964.477339449542,22,12,21.0,26738.22,0.10091743119266056,0.0963302752293578
2026-03-04,239,2755984.24,11531.314811715481,20,11,39.0,79686.78,0.08368200836820083,0.16317991631799164
2026-03-05,245,2883882.93,11770.950734693879,21,16,36.0,76268.22,0.08571428571428572,0.1469387755102041
2026-03-06,226,2688262.98,11894.968938053098,22,15,19.0,41222.38,0.09734513274336283,0.084070796460177
2026-03-07,235,2843496.81,12099.986425531915,18,14,24.0,51713.51,0.07659574468085106,0.10212765957446808
2026-03-08,245,3022131.66,12335.231265306124,16,8,48.0,158624.2,0.0653061224489796,0.19591836734693877
2026-03-09,242,3070040.7,12686.118595041324,21,5,30.0,86735.23,0.08677685950413223,0.12396694214876033
2026-03-10,232,2832091.37,12207.290387931034,24,4,22.0,63011.14,0.10344827586206896,0.09482758620689655
2026-03-11,211,2489067.73,11796.52952606635,23,6,36.0,79146.25,0.10900473933649289,0.17061611374407584
2026-03-12,232,2719090.94,11720.219568965516,14,8,26.0,50205.07,0.0603448275862069,0.11206896551724138
2026-03-13,240,2744393.85,11434.974375,28,8,27.0,80136.73,0.11666666666666667,0.1125
