ring_id,user_count,merchant_count,transaction_count,total_amount,chargeback_count,chargeback_amount,risk_score,risk_level,risk_reasons
RING_0694,4,1,4,22507.440000000002,5.0,15762.65,63.0,HIGH,multiple connected users; linked chargeback activity; elevated disputed amount ratio
RING_0270,2,2,3,27869.5,4.0,15987.98,56.0,HIGH,multiple connected merchants; linked chargeback activity; elevated disputed amount ratio
RING_0535,2,2,3,35408.76,4.0,8252.039999999999,56.0,HIGH,multiple connected merchants; linked chargeback activity; elevated disputed amount ratio
RING_0265,3,1,3,39055.03,4.0,12273.39,53.0,HIGH,multiple connected users; linked chargeback activity; elevated disputed amount ratio
RING_0131,3,1,3,19639.72,4.0,8957.92,53.0,HIGH,multiple connected users; linked chargeback activity; elevated disputed amount ratio
RING_0330,2,2,3,61274.479999999996,3.0,20907.670000000002,51.0,HIGH,multiple connected merchants; linked chargeback activity; elevated disputed amount ratio
RING_0304,2,2,3,19677.940000000002,3.0,5668.18,51.0,HIGH,multiple connected merchants; linked chargeback activity; elevated disputed amount ratio
RING_0648,2,2,3,38186.1,3.0,11112.91,51.0,HIGH,multiple connected merchants; linked chargeback activity; elevated disputed amount ratio
RING_0581,2,2,3,22570.37,3.0,13672.24,51.0,HIGH,multiple connected merchants; linked chargeback activity; elevated disputed amount ratio
RING_0872,2,3,4,68558.76999999999,2.0,2982.66,48.35,MEDIUM,multiple connected merchants; linked chargeback activity
RING_0447,3,1,3,45200.090000000004,3.0,6303.65,48.0,MEDIUM,multiple connected users; linked chargeback activity; elevated disputed amount ratio
RING_0168,3,1,3,48587.39000000001,3.0,10586.9,48.0,MEDIUM,multiple connected users; linked chargeback activity; elevated disputed amount ratio
RING_0141,3,1,3,48177.369999999995,3.0,15583.16,48.0,MEDIUM,multiple connected users; linked chargeback activity; elevated disputed amount ratio
RING_0273,3,1,3,60618.7,3.0,14354.85,48.0,MEDIUM,multiple connected users; linked chargeback activity; elevated disputed amount ratio
RING_0233,3,1,3,47494.009999999995,3.0,5140.04,48.0,MEDIUM,multiple connected users; linked chargeback activity; elevated disputed amount ratio
RING_0082,3,1,3,31178.43,3.0,10427.300000000001,48.0,MEDIUM,multiple connected users; linked chargeback activity; elevated disputed amount ratio
RING_0733,3,1,3,33144.759999999995,3.0,7414.65,48.0,MEDIUM,multiple connected users; linked chargeback activity; elevated disputed amount ratio
RING_0584,3,1,3,50843.64,3.0,8334.48,48.0,MEDIUM,multiple connected users; linked chargeback activity; elevated disputed amount ratio
RING_0687,3,1,3,34773.21,3.0,19559.5,48.0,MEDIUM,multiple connected users; linked chargeback activity; elevated disputed amount ratio
RING_0554,3,1,3,21531.1,3.0,6273.360000000001,48.0,MEDIUM,multiple connected users; linked chargeback activity; elevated disputed amount ratio
RING_0560,3,1,3,47166.97,3.0,5137.3099999999995,48.0,MEDIUM,multiple connected users; linked chargeback activity; elevated disputed amount ratio
RING_0103,3,1,3,29529.190000000002,3.0,3298.93,48.0,MEDIUM,multiple connected users; linked chargeback activity; elevated disputed amount ratio
RING_0121,3,1,3,19823.92,3.0,8372.98,48.0,MEDIUM,multiple connected users; linked chargeback activity; elevated disputed amount ratio
RING_0294,3,1,3,38379.86,3.0,13326.189999999999,48.0,MEDIUM,multiple connected users; linked chargeback activity; elevated disputed amount ratio
RING_0146,2,2,3,42318.340000000004,3.0,2607.0,47.16,MEDIUM,multiple connected merchants; linked chargeback activity; elevated disputed amount ratio
RING_0834,2,2,3,37558.35,3.0,2043.15,46.44,MEDIUM,multiple connected merchants; linked chargeback activity; elevated disputed amount ratio
RING_0812,3,1,3,31185.47,3.0,2263.3,45.26,MEDIUM,multiple connected users; linked chargeback activity; elevated disputed amount ratio
RING_0527,3,1,3,45587.63,3.0,2678.0099999999998,43.87,MEDIUM,multiple connected users; linked chargeback activity; elevated disputed amount ratio
RING_0293,2,1,2,13822.31,3.0,9248.74,43.0,MEDIUM,linked chargeback activity; elevated disputed amount ratio
RING_1270,2,1,2,26844.69,3.0,5154.57,43.0,MEDIUM,linked chargeback activity; elevated disputed amount ratio
RING_1336,2,1,2,26682.25,3.0,7669.97,43.0,MEDIUM,linked chargeback activity; elevated disputed amount ratio
RING_0865,2,1,2,6985.79,3.0,5913.0,43.0,MEDIUM,linked chargeback activity; elevated disputed amount ratio
RING_0890,2,1,2,46670.34,3.0,5811.0,43.0,MEDIUM,linked chargeback activity; elevated disputed amount ratio
RING_1007,2,1,2,49370.93,3.0,12667.59,43.0,MEDIUM,linked chargeback activity; elevated disputed amount ratio
RING_0714,2,1,2,34754.63,3.0,7752.35,43.0,MEDIUM,linked chargeback activity; elevated disputed amount ratio
RING_1552,2,1,2,37923.73,3.0,12432.57,43.0,MEDIUM,linked chargeback activity; elevated disputed amount ratio
RING_0623,2,1,2,31440.18,3.0,6021.15,43.0,MEDIUM,linked chargeback activity; elevated disputed amount ratio
RING_1123,2,1,2,36496.53,3.0,4467.04,43.0,MEDIUM,linked chargeback activity; elevated disputed amount ratio
RING_1032,2,1,2,28191.399999999998,3.0,6717.460000000001,43.0,MEDIUM,linked chargeback activity; elevated disputed amount ratio
RING_0091,2,1,2,12995.099999999999,3.0,7584.43,43.0,MEDIUM,linked chargeback activity; elevated disputed amount ratio
RING_0032,2,1,2,15396.63,3.0,3545.43,43.0,MEDIUM,linked chargeback activity; elevated disputed amount ratio
RING_0033,3,1,3,12530.91,2.0,8611.05,43.0,MEDIUM,multiple connected users; linked chargeback activity; elevated disputed amount ratio
RING_0084,2,1,2,25847.03,3.0,7383.24,43.0,MEDIUM,linked chargeback activity; elevated disputed amount ratio
RING_1435,2,1,2,34337.2,3.0,12159.89,43.0,MEDIUM,linked chargeback activity; elevated disputed amount ratio
RING_0806,2,1,2,44173.100000000006,3.0,5583.93,43.0,MEDIUM,linked chargeback activity; elevated disputed amount ratio
RING_1890,2,1,2,17252.04,3.0,1752.2800000000002,43.0,MEDIUM,linked chargeback activity; elevated disputed amount ratio
RING_1676,2,1,2,22318.559999999998,3.0,6564.58,43.0,MEDIUM,linked chargeback activity; elevated disputed amount ratio
RING_0277,2,1,2,16646.71,3.0,2004.62,43.0,MEDIUM,linked chargeback activity; elevated disputed amount ratio
RING_0334,2,1,2,37478.96,3.0,3761.24,43.0,MEDIUM,linked chargeback activity; elevated disputed amount ratio
RING_0562,2,1,2,23638.36,3.0,4483.41,43.0,MEDIUM,linked chargeback activity; elevated disputed amount ratio
RING_0937,2,1,2,32074.68,3.0,9614.68,43.0,MEDIUM,linked chargeback activity; elevated disputed amount ratio
RING_1128,2,1,2,-4052.1100000000006,3.0,2204.8500000000004,43.0,MEDIUM,linked chargeback activity
RING_1150,2,1,2,30425.93,3.0,3415.46,43.0,MEDIUM,linked chargeback activity; elevated disputed amount ratio
RING_1226,2,1,2,18368.76,3.0,3523.1200000000003,43.0,MEDIUM,linked chargeback activity; elevated disputed amount ratio
RING_0234,2,1,2,15435.689999999999,3.0,23194.36,43.0,MEDIUM,linked chargeback activity; elevated disputed amount ratio
RING_0302,2,1,2,34283.92,3.0,5015.36,43.0,MEDIUM,linked chargeback activity; elevated disputed amount ratio
RING_0414,3,1,3,41840.68,2.0,4166.45,42.96,MEDIUM,multiple connected users; linked chargeback activity; elevated disputed amount ratio
RING_0080,3,1,3,48676.14,3.0,2196.54,42.51,MEDIUM,multiple connected users; linked chargeback activity
RING_0538,2,1,2,19201.33,3.0,1644.1,41.56,MEDIUM,linked chargeback activity; elevated disputed amount ratio
RING_0489,2,1,2,35753.05,3.0,3025.21,41.46,MEDIUM,linked chargeback activity; elevated disputed amount ratio
RING_0182,3,1,3,30894.760000000002,3.0,917.78,40.97,MEDIUM,multiple connected users; linked chargeback activity
RING_0209,2,1,2,18658.82,3.0,1483.85,40.95,MEDIUM,linked chargeback activity; elevated disputed amount ratio
RING_0723,2,1,2,29560.99,3.0,2132.25,40.21,MEDIUM,linked chargeback activity; elevated disputed amount ratio
RING_0332,2,2,3,55280.11,2.0,1664.31,39.01,MEDIUM,multiple connected merchants; linked chargeback activity
RING_1043,3,1,3,32961.520000000004,2.0,1805.71,38.48,MEDIUM,multiple connected users; linked chargeback activity; elevated disputed amount ratio
RING_1312,2,1,2,24714.22,3.0,1355.0,38.48,MEDIUM,linked chargeback activity; elevated disputed amount ratio
RING_1164,2,1,2,21495.149999999998,2.0,19412.120000000003,38.0,MEDIUM,linked chargeback activity; elevated disputed amount ratio
RING_1158,2,1,2,14300.61,2.0,1943.45,38.0,MEDIUM,linked chargeback activity; elevated disputed amount ratio
RING_1154,2,1,2,12101.25,2.0,3431.71,38.0,MEDIUM,linked chargeback activity; elevated disputed amount ratio
RING_1236,2,1,2,10770.09,2.0,25248.56,38.0,MEDIUM,linked chargeback activity; elevated disputed amount ratio
RING_0225,2,1,2,35015.05,2.0,8687.98,38.0,MEDIUM,linked chargeback activity; elevated disputed amount ratio
