merchant_id_core,transaction_count,total_amount,average_amount,unique_users,failed_count,chargeback_count,disputed_amount,delayed_dispute_count,anomalous_amount_count,failed_rate,chargeback_ratio,merchant_name,merchant_category_clean,business_type_clean,merchant_status,merchant_conflict_score,risk_score,risk_level,risk_reasons
1000,1,1946.18,1946.18,1,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,0.0,LOW,No major risk signal
1001,4,49974.0,12493.5,4,1,0.0,0.0,0.0,0,0.25,0.0,Anand-Kothari,Unknown,Partnership,Active,0.0,3.75,LOW,high failed transaction rate
1003,2,18029.879999999997,9014.939999999999,2,0,0.0,0.0,0.0,0,0.0,0.0,"Nayar, Batta and Barad",Clothing,Private Limited,Enabled,0.0,0.0,LOW,No major risk signal
1004,2,9870.740000000002,4935.370000000001,2,0,0.0,0.0,0.0,0,0.0,0.0,Pillai-Mohan,Transportation,Sole Proprietor,Active,0.0,0.0,LOW,No major risk signal
1005,2,14599.21,7299.605,2,1,0.0,0.0,0.0,0,0.5,0.0,SAGAR AND SONS,Pharmacy & Medical,Partnership,A,0.0,7.5,LOW,high failed transaction rate
1006,2,13964.060000000001,6982.030000000001,2,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,0.0,LOW,No major risk signal
1007,3,8735.779999999999,2911.9266666666663,3,0,1.0,3545.44,0.0,0,0.0,0.3333333333333333,Jain-Wadhwa,Hotels & Hospitality,Private Limited,Disabled,3.0,30.0,MEDIUM,elevated chargeback ratio; merchant profile conflicts
1008,3,31298.129999999997,10432.71,3,0,1.0,2483.0,0.0,0,0.0,0.3333333333333333,,,,,,15.0,LOW,elevated chargeback ratio
1009,2,32937.47,16468.735,2,0,0.0,0.0,0.0,0,0.0,0.0,Bha11a-Dave,Unknown,Individual,Live,0.0,0.0,LOW,No major risk signal
1011,4,41529.21,10382.3025,4,0,1.0,1769.97,0.0,0,0.0,0.25,Wable and Sons,Grocery,Private Limited,Suspended,1.0,16.25,LOW,elevated chargeback ratio; merchant profile conflicts
1012,2,15718.07,7859.035,2,1,1.0,13142.13,0.0,0,0.5,0.5,,,,,,30.0,MEDIUM,elevated chargeback ratio; high failed transaction rate
1013,1,4742.13,4742.13,1,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,0.0,LOW,No major risk signal
1014,1,17338.71,17338.71,1,0,0.0,0.0,0.0,0,0.0,0.0,"Raghavan, Barad and Bahl",Food & Restaurants,Partnership,ACTIVE,2.0,10.0,LOW,merchant profile conflicts
1015,6,45381.28,7563.546666666666,6,0,1.0,2727.04,0.0,0,0.0,0.16666666666666666,Mannan-Subramaniam,Hotels & Hospitality,Individual,Active,0.0,7.5,LOW,elevated chargeback ratio
1016,2,30550.47,15275.235,2,0,0.0,0.0,0.0,0,0.0,0.0,"CHAR, BHARGAVA AND CHAUDHARY",Food & Restaurants,Private Limited,A,3.0,15.0,LOW,merchant profile conflicts
1017,1,18198.36,18198.36,1,0,1.0,1918.51,0.0,0,0.0,1.0,,,,,,45.0,MEDIUM,elevated chargeback ratio
1019,3,32130.27,10710.09,3,1,0.0,0.0,0.0,0,0.3333333333333333,0.0,Iyer-Thaker,Clothing,Partnership,Live,0.0,5.0,LOW,high failed transaction rate
1020,2,22912.47,11456.235,2,0,0.0,0.0,0.0,0,0.0,0.0,Garg-Kale,Transportation,Sole Proprietor,Enabled,0.0,0.0,LOW,No major risk signal
1021,3,61852.69,20617.563333333335,3,0,0.0,0.0,0.0,0,0.0,0.0,VARGHESE-RAMACHANDRAN,Food & Restaurants,Private Limited,ACTIVE,3.0,15.0,LOW,merchant profile conflicts
1022,2,35774.61,17887.305,2,1,0.0,0.0,0.0,0,0.5,0.0,Ramesh-Bhat,Unknown,Private Limited,A,0.0,7.5,LOW,high failed transaction rate
1023,3,36175.56,12058.519999999999,3,0,1.0,4001.57,0.0,0,0.0,0.3333333333333333,,,,,,15.0,LOW,elevated chargeback ratio
1024,2,22788.01,11394.005,2,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,0.0,LOW,No major risk signal
1025,4,57906.43,14476.6075,4,1,0.0,0.0,0.0,0,0.25,0.0,,,,,,3.75,LOW,high failed transaction rate
1026,4,45325.67,11331.4175,4,1,0.0,0.0,0.0,0,0.25,0.0,,,,,,3.75,LOW,high failed transaction rate
1027,1,21815.44,21815.44,1,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,0.0,LOW,No major risk signal
1028,1,5284.29,5284.29,1,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,0.0,LOW,No major risk signal
