ring_id,member_type,member_id
RING_0001,USER,38701
RING_0001,USER,45826
RING_0001,MERCHANT,7045
RING_0008,USER,16089
RING_0008,USER,96990
RING_0008,MERCHANT,3478
RING_0009,USER,81688
RING_0009,USER,47178
RING_0009,MERCHANT,2222
RING_0013,USER,66862
RING_0013,USER,32376
RING_0013,MERCHANT,5569
RING_0022,USER,67216
RING_0022,USER,14076
RING_0022,MERCHANT,3964
RING_0027,USER,19965
RING_0027,USER,43994
RING_0027,MERCHANT,5882
RING_0032,USER,93368
RING_0032,USER,65418
RING_0032,MERCHANT,8903
RING_0033,USER,24491
RING_0033,USER,63311
RING_0033,USER,75614
RING_0033,MERCHANT,7297
RING_0042,USER,78238
RING_0042,USER,25861
RING_0042,MERCHANT,9568
RING_0043,USER,52359
RING_0043,USER,57633
RING_0043,MERCHANT,8586
RING_0046,USER,74331
RING_0046,USER,49499
RING_0046,MERCHANT,8965
RING_0059,USER,87038
RING_0059,USER,52173
RING_0059,MERCHANT,8699
RING_0061,USER,51311
RING_0061,USER,34618
RING_0061,MERCHANT,4401
RING_0073,USER,47360
RING_0073,USER,27942
RING_0073,MERCHANT,7607
RING_0075,USER,86802
RING_0075,USER,52730
RING_0075,MERCHANT,2204
RING_0076,USER,13149
RING_0076,USER,22220
RING_0076,MERCHANT,5625
RING_0080,USER,19007
RING_0080,USER,84407
RING_0080,USER,16058
RING_0080,MERCHANT,5177
RING_0082,USER,14312
RING_0082,USER,23730
RING_0082,USER,69178
RING_0082,MERCHANT,6973
RING_0084,USER,70794
RING_0084,USER,87136
RING_0084,MERCHANT,1079
RING_0091,USER,49171
RING_0091,USER,99484
RING_0091,MERCHANT,5922
RING_0093,USER,66675
RING_0093,USER,66922
RING_0093,MERCHANT,5832
RING_0094,USER,15161
RING_0094,USER,67313
RING_0094,MERCHANT,9874
RING_0095,USER,13860
RING_0095,USER,60222
RING_0095,MERCHANT,4029
RING_0097,USER,12361
RING_0097,USER,43414
RING_0097,MERCHANT,9375
RING_0101,USER,35179
RING_0101,USER,66411
RING_0101,MERCHANT,6594
RING_0103,USER,45648
RING_0103,USER,30959
RING_0103,USER,22920
RING_0103,MERCHANT,1744
RING_0108,USER,49903
RING_0108,USER,39318
RING_0108,MERCHANT,1416
RING_0113,USER,54427
RING_0113,USER,84351
RING_0113,MERCHANT,5067
RING_0114,USER,50238
RING_0114,USER,13049
RING_0114,MERCHANT,1531
RING_0115,USER,66062
RING_0115,USER,14823
RING_0115,MERCHANT,8130
RING_0116,USER,66229
RING_0116,USER,95219
RING_0116,MERCHANT,4897
RING_0117,USER,41164
RING_0117,USER,84792
RING_0117,MERCHANT,7951
RING_0121,USER,83092
RING_0121,USER,36986
RING_0121,USER,65839
RING_0121,MERCHANT,4067
RING_0123,USER,67764
RING_0123,USER,63265
RING_0123,MERCHANT,3855
RING_0127,USER,45689
RING_0127,USER,61129
RING_0127,MERCHANT,4843
RING_0131,USER,30469
RING_0131,USER,59418
RING_0131,USER,66939
RING_0131,MERCHANT,3587
RING_0141,USER,20637
RING_0141,USER,65826
RING_0141,USER,42648
RING_0141,MERCHANT,4243
RING_0143,USER,57092
RING_0143,USER,22518
RING_0143,MERCHANT,3557
RING_0144,USER,61573
RING_0144,USER,35153
RING_0144,MERCHANT,5236
RING_0146,USER,23949
RING_0146,USER,56298
RING_0146,MERCHANT,1080
RING_0146,MERCHANT,7481
RING_0152,USER,81994
RING_0152,USER,82632
RING_0152,MERCHANT,4100
RING_0154,USER,59914
RING_0154,USER,88410
RING_0154,MERCHANT,5940
RING_0163,USER,88921
RING_0163,USER,21498
RING_0163,MERCHANT,8296
RING_0168,USER,34262
RING_0168,USER,22336
RING_0168,USER,71235
RING_0168,MERCHANT,6678
RING_0169,USER,32925
RING_0169,USER,46861
RING_0169,MERCHANT,4783
RING_0172,USER,83810
RING_0172,USER,39115
RING_0172,MERCHANT,4194
RING_0176,USER,28939
RING_0176,USER,85066
RING_0176,MERCHANT,4578
RING_0177,USER,94157
RING_0177,USER,21736
RING_0177,MERCHANT,7090
RING_0181,USER,57411
RING_0181,USER,97864
RING_0181,MERCHANT,9539
RING_0182,USER,58222
RING_0182,USER,58522
RING_0182,USER,72396
RING_0182,MERCHANT,5097
RING_0191,USER,80852
RING_0191,USER,39677
RING_0191,MERCHANT,9763
RING_0192,USER,82916
RING_0192,USER,42244
RING_0192,MERCHANT,2149
RING_0195,USER,44018
RING_0195,USER,86491
RING_0195,MERCHANT,9051
RING_0198,USER,25313
RING_0198,USER,76856
RING_0198,MERCHANT,6239
RING_0205,USER,88018
RING_0205,USER,25917
RING_0205,MERCHANT,6659
RING_0209,USER,40359
RING_0209,USER,71906
RING_0209,MERCHANT,1890
RING_0219,USER,79776
RING_0219,USER,40808
RING_0219,MERCHANT,6316
RING_0225,USER,46394
RING_0225,USER,97266
RING_0225,MERCHANT,7355
RING_0226,USER,94414
RING_0226,USER,34263
RING_0226,MERCHANT,4418
RING_0230,USER,72065
RING_0230,USER,22892
RING_0230,MERCHANT,5025
RING_0233,USER,36829
RING_0233,USER,48829
RING_0233,USER,56428
RING_0233,MERCHANT,1508
RING_0234,USER,48448
RING_0234,USER,13875
RING_0234,MERCHANT,6858
RING_0236,USER,76999
RING_0236,USER,10951
RING_0236,MERCHANT,1704
RING_0242,USER,42368
RING_0242,USER,30976
RING_0242,MERCHANT,7407
RING_0252,USER,53745
RING_0252,USER,62531
RING_0252,MERCHANT,4765
RING_0256,USER,17179
RING_0256,USER,89128
RING_0256,MERCHANT,8146
RING_0257,USER,38917
RING_0257,USER,89902
RING_0257,MERCHANT,4919
RING_0258,USER,41119
RING_0258,USER,58611
RING_0258,MERCHANT,7526
RING_0263,USER,72574
RING_0263,USER,53983
RING_0263,MERCHANT,5179
RING_0265,USER,84883
RING_0265,USER,52174
RING_0265,USER,84915
RING_0265,MERCHANT,5530
RING_0270,USER,63885
RING_0270,USER,61021
RING_0270,MERCHANT,2942
RING_0270,MERCHANT,4302
RING_0271,USER,82947
RING_0271,USER,97981
RING_0271,MERCHANT,9742
RING_0273,USER,85527
RING_0273,USER,75336
RING_0273,USER,42873
RING_0273,MERCHANT,3548
RING_0277,USER,16125
RING_0277,USER,88277
RING_0277,MERCHANT,8539
RING_0278,USER,11511
RING_0278,USER,44388
RING_0278,MERCHANT,7016
RING_0290,USER,29203
RING_0290,USER,84473
RING_0290,MERCHANT,6822
RING_0293,USER,44917
RING_0293,USER,92837
RING_0293,MERCHANT,6924
RING_0294,USER,60961
RING_0294,USER,43204
RING_0294,USER,14586
RING_0294,MERCHANT,6701
RING_0298,USER,86752
RING_0298,USER,43996
RING_0298,MERCHANT,8869
RING_0302,USER,89332
RING_0302,USER,17198
RING_0302,MERCHANT,6538
RING_0304,USER,37899
RING_0304,USER,99049
RING_0304,MERCHANT,7269
RING_0304,MERCHANT,3208
RING_0306,USER,13067
RING_0306,USER,12611
RING_0306,MERCHANT,7892
RING_0309,USER,74566
RING_0309,USER,73213
RING_0309,MERCHANT,1186
RING_0310,USER,64332
RING_0310,USER,16822
RING_0310,MERCHANT,1711
RING_0312,USER,39136
RING_0312,USER,88946
RING_0312,MERCHANT,6203
RING_0314,USER,28771
RING_0314,USER,50032
RING_0314,MERCHANT,2363
RING_0315,USER,65592
RING_0315,USER,60989
RING_0315,USER,65423
RING_0315,MERCHANT,6651
RING_0316,USER,14244
RING_0316,USER,71972
RING_0316,MERCHANT,2879
RING_0318,USER,93072
RING_0318,USER,49302
RING_0318,MERCHANT,5865
RING_0320,USER,14471
RING_0320,USER,26217
RING_0320,MERCHANT,9840
RING_0321,USER,80577
RING_0321,USER,33281
RING_0321,MERCHANT,6838
RING_0324,USER,59963
RING_0324,USER,89783
RING_0324,MERCHANT,9029
RING_0330,USER,60002
RING_0330,USER,30438
RING_0330,MERCHANT,3232
RING_0330,MERCHANT,6365
RING_0332,USER,17503
RING_0332,USER,32494
RING_0332,MERCHANT,9368
RING_0332,MERCHANT,7715
RING_0334,USER,18456
RING_0334,USER,18563
RING_0334,MERCHANT,7002
RING_0336,USER,67742
RING_0336,USER,32882
RING_0336,MERCHANT,8755
RING_0344,USER,30948
RING_0344,USER,84095
RING_0344,MERCHANT,9758
RING_0345,USER,49210
RING_0345,USER,33506
RING_0345,MERCHANT,1782
RING_0351,USER,91694
RING_0351,USER,94513
RING_0351,MERCHANT,6471
RING_0358,USER,13211
RING_0358,USER,31152
RING_0358,MERCHANT,8916
RING_0364,USER,58433
RING_0364,USER,70271
RING_0364,MERCHANT,8171
RING_0375,USER,50378
RING_0375,USER,75439
RING_0375,MERCHANT,2484
RING_0397,USER,49340
RING_0397,USER,22950
RING_0397,MERCHANT,7201
RING_0399,USER,47427
RING_0399,USER,94135
RING_0399,MERCHANT,3215
RING_0402,USER,94008
RING_0402,USER,39296
RING_0402,MERCHANT,9115
RING_0403,USER,42072
RING_0403,USER,15311
RING_0403,MERCHANT,9189
RING_0414,USER,85672
RING_0414,USER,92643
RING_0414,USER,74797
RING_0414,MERCHANT,4277
RING_0435,USER,49452
RING_0435,USER,23336
RING_0435,MERCHANT,5012
RING_0436,USER,16682
RING_0436,USER,97209
RING_0436,MERCHANT,1848
RING_0441,USER,24010
RING_0441,USER,72566
RING_0441,MERCHANT,1738
RING_0447,USER,17860
RING_0447,USER,36102
RING_0447,USER,23485
RING_0447,MERCHANT,5278
RING_0463,USER,70265
RING_0463,USER,50964
RING_0463,MERCHANT,6848
RING_0471,USER,94683
RING_0471,USER,64955
RING_0471,MERCHANT,9276
RING_0478,USER,52186
RING_0478,USER,96759
RING_0478,MERCHANT,2104
RING_0481,USER,87941
RING_0481,USER,85354
RING_0481,MERCHANT,9920
RING_0489,USER,32235
RING_0489,USER,48697
RING_0489,MERCHANT,9227
RING_0506,USER,28643
RING_0506,USER,12879
RING_0506,MERCHANT,3594
RING_0518,USER,76787
RING_0518,USER,50475
